"RIX","alias","ID","day","virus","antigen","Ig2A.2C","IgG1","IgG2A.2B","IgG2ac","IgG2b","IgG3","TotalG"
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","N",NA,2.80914923015966,NA,2.30667210890494,1.46618255412133,-0.026,4.24953794481549
"CC001xCC074","X13140x3015","119","DRECHAL","SARS","S",NA,1.67473497640423,NA,6.93259658386281,4.18286157964556,0.0247318958350253,7.50931204173095
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","N",NA,1.45713035585238,NA,2.12703172805103,0.699736544501848,-0.0380457574905605,3.57981248975884
"CC001xCC074","X13140x3015","123","DRECHAL","SARS","S",NA,5.49215233854187,NA,7.34549196331097,3.93264589776348,0.0779671240662178,7.91690688910824
"CC001xCC074","X13140x3015","43","D29","SARS","N",NA,1.92445021025841,NA,1.12147420907342,0.886575945256995,-0.0455326519198368,2.32343354827758
"CC001xCC074","X13140x3015","43","D29","SARS","S",NA,0.379669028335735,NA,6.56965877932027,3.24216233573038,0.0466959115190208,6.92852128283464
"CC001xCC074","X13140x3015","50","D29","SARS","N",NA,1.31412747148411,NA,1.71293088792325,0.397083730119058,-0.00264060486784946,2.55304127721165
"CC001xCC074","X13140x3015","50","D29","SARS","S",NA,0.514302744397301,NA,5.85442355108908,2.4980774855416,0.00262083450479072,6.18758347829209
"CC001xCC074","X13140x3015","57","D29","SARS","N",NA,0.803926015242479,NA,1.93992399911697,0.760203668568065,-0.0361012881556779,3.29315567093805
"CC001xCC074","X13140x3015","57","D29","SARS","S",NA,3.29918210609344,NA,6.83109991625899,2.96041733432463,-0.00738893866976574,7.33617476925926
"CC001xCC074","X13140x3015","98","DRECHAL","SARS","N",NA,-0.0152190142782469,NA,1.55424474957878,0.487753430496631,-0.0316470456462385,2.74976029148989
"CC001xCC074","X13140x3015","98","DRECHAL","SARS","S",NA,0.0302971996746983,NA,4.65011968662203,2.58419498765022,0.0233560627359831,5.66660635703737
"CC002xCC011","X15156x3252","111","D15","SARS","N",NA,NA,NA,0.657432680034814,NA,NA,2.05344376948003
"CC002xCC011","X15156x3252","111","D15","SARS","S",NA,NA,NA,3.80397731745564,NA,NA,5.80461279781576
"CC002xCC011","X15156x3252","118","D15","SARS","N",NA,NA,NA,0.240427135312208,NA,NA,3.00526029148989
"CC002xCC011","X15156x3252","118","D15","SARS","S",NA,NA,NA,3.50533693660174,NA,NA,5.31192976785351
"CC002xCC011","X15156x3252","133","D15","SARS","N",NA,NA,NA,0.0817905348823632,NA,NA,1.17790246445536
"CC002xCC011","X15156x3252","133","D15","SARS","S",NA,NA,NA,3.44840512480969,NA,NA,5.4666454497356
"CC002xCC011","X15156x3252","96","DRECHAL","SARS","N",NA,NA,NA,0.527779417624132,NA,NA,2.32566233573038
"CC002xCC011","X15156x3252","96","DRECHAL","SARS","S",NA,NA,NA,3.79955217045593,NA,NA,6.18440355671207
"CC002xCC011","X15156x3252","98","DRECHAL","SARS","N",NA,NA,NA,0.0696565948068489,NA,NA,0.93902397100199
"CC002xCC011","X15156x3252","98","DRECHAL","SARS","S",NA,NA,NA,4.37645399068248,NA,NA,6.64284469365078
"CC002xCC011","X15156x3252","99","DRECHAL","SARS","N",NA,NA,NA,0.275299860029029,NA,NA,1.90730005622995
"CC002xCC011","X15156x3252","99","DRECHAL","SARS","S",NA,NA,NA,3.03028762270107,NA,NA,5.39858658667431
"CC002xCC021","X15156x1566","101","D29","SARS","N",NA,NA,NA,1.05843223200692,NA,NA,0.636528199453942
"CC002xCC021","X15156x1566","101","D29","SARS","S",NA,NA,NA,3.31048241415036,NA,NA,4.79091977066502
"CC002xCC021","X15156x1566","102","D29","SARS","N",NA,NA,NA,0.452476225198937,NA,NA,0.429129935637506
"CC002xCC021","X15156x1566","102","D29","SARS","S",NA,NA,NA,4.26750840127786,NA,NA,5.6466714368631
"CC002xCC021","X15156x1566","103","D15","SARS","N",NA,NA,NA,0.199316746023812,NA,NA,0.484508653104827
"CC002xCC021","X15156x1566","103","D15","SARS","S",NA,NA,NA,2.49180604898045,NA,NA,3.35185158245707
"CC002xCC021","X15156x1566","106","D15","SARS","N",NA,NA,NA,0.17215015402846,NA,NA,0.325819630392085
"CC002xCC021","X15156x1566","106","D15","SARS","S",NA,NA,NA,3.79344309743819,NA,NA,4.56690378072602
"CC002xCC021","X15156x1566","107","D7","SARS","N",NA,NA,NA,0.295764323740916,NA,NA,NA
"CC002xCC021","X15156x1566","107","D7","SARS","S",NA,NA,NA,1.77448020182392,NA,NA,NA
"CC002xCC021","X15156x1566","130","D29","SARS","N",NA,NA,NA,0.193963791670049,NA,NA,0.2431303836654
"CC002xCC021","X15156x1566","130","D29","SARS","S",NA,NA,NA,4.15444309743819,NA,NA,5.62055726715064
"CC002xCC021","X15156x1566","215","DRECHAL","SARS","N",NA,NA,NA,0.309666143967459,NA,NA,0.390767208109191
"CC002xCC021","X15156x1566","215","DRECHAL","SARS","S",NA,NA,NA,3.65929938418812,NA,NA,4.96951150966008
"CC002xCC021","X15156x1566","216","DRECHAL","SARS","N",NA,NA,NA,0.347283646076084,NA,NA,0.793475329143152
"CC002xCC021","X15156x1566","216","DRECHAL","SARS","S",NA,NA,NA,4.0496914312401,NA,NA,5.40301484205625
"CC002xCC021","X15156x1566","217","DRECHAL","SARS","N",NA,NA,NA,0.17093447214638,NA,NA,0.325970008434494
"CC002xCC021","X15156x1566","217","DRECHAL","SARS","S",NA,NA,NA,4.44011302182971,NA,NA,5.69504749397608
"CC002xCC021","X15156x1566","270","D15","SARS","N",NA,NA,NA,0.41020501265174,NA,NA,0.706488434713876
"CC002xCC021","X15156x1566","270","D15","SARS","S",NA,NA,NA,4.18505415876844,NA,NA,5.13740044832985
"CC002xCC021","X15156x1566","273","D7","SARS","N",NA,NA,NA,0.231741669009582,NA,NA,NA
"CC002xCC021","X15156x1566","273","D7","SARS","S",NA,NA,NA,3.52708036990988,NA,NA,NA
"CC002xCC021","X15156x1566","279","D15","SARS","N",NA,NA,NA,0.204101064141732,NA,NA,0.433835620331086
"CC002xCC021","X15156x1566","279","D15","SARS","S",NA,NA,NA,4.0677698406505,NA,NA,4.37460635703737
"CC002xCC021","X15156x1566","280","D15","SARS","N",NA,NA,NA,0.336123942887012,NA,NA,1.9162902830554
"CC002xCC021","X15156x1566","280","D15","SARS","S",NA,NA,NA,4.55774696190522,NA,NA,5.08283181209401
"CC002xCC021","X15156x1566","287","D7","SARS","N",NA,NA,NA,0.171800532070865,NA,NA,NA
"CC002xCC021","X15156x1566","287","D7","SARS","S",NA,NA,NA,2.7062538507115,NA,NA,NA
"CC002xCC021","X15156x1566","288","D7","SARS","N",NA,NA,NA,0.177012881556779,NA,NA,NA
"CC002xCC021","X15156x1566","288","D7","SARS","S",NA,NA,NA,2.6024662001974,NA,NA,NA
"CC002xCC021","X15156x1566","97","D15","SARS","N",NA,NA,NA,0.274633492047623,NA,NA,0.757406692907312
"CC002xCC021","X15156x1566","97","D15","SARS","S",NA,NA,NA,3.76515877932027,NA,NA,4.36556393194298
"CC002xCC021","X15156x1566","98","D7","SARS","N",NA,NA,NA,0.227976897240773,NA,NA,NA
"CC002xCC021","X15156x1566","98","D7","SARS","S",NA,NA,NA,1.65851285374376,NA,NA,NA
"CC003xCC051","X13067x16912","118","D29","SARS","N",NA,NA,NA,1.52667588932899,NA,NA,2.18905771517854
"CC003xCC051","X13067x16912","118","D29","SARS","S",NA,NA,NA,4.79301173367403,NA,NA,5.33486468802779
"CC003xCC051","X13067x16912","119","D29","SARS","N",NA,NA,NA,0.938778073540457,NA,NA,1.93055127440015
"CC003xCC051","X13067x16912","119","D29","SARS","S",NA,NA,NA,5.77836135563164,NA,NA,5.56952483924476
"CC003xCC051","X13067x16912","120","D29","SARS","N",NA,NA,NA,1.56467521728716,NA,NA,1.6805090733197
"CC003xCC051","X13067x16912","120","D29","SARS","S",NA,NA,NA,6.59134491766474,NA,NA,5.95114567374954
"CC003xCC051","X13067x16912","61","D15","SARS","N",NA,NA,NA,0.798083282091166,NA,NA,1.60617566531505
"CC003xCC051","X13067x16912","61","D15","SARS","S",NA,NA,NA,4.19476339987212,NA,NA,4.353743853523
"CC003xCC051","X13067x16912","62","D15","SARS","N",NA,NA,NA,1.43049997218698,NA,NA,2.84223741274461
"CC003xCC051","X13067x16912","62","D15","SARS","S",NA,NA,NA,2.98822097477772,NA,NA,3.12871453399934
"CC003xCC051","X13067x16912","70","DRECHAL","SARS","N",NA,NA,NA,1.42335558689507,NA,NA,2.04050218451342
"CC003xCC051","X13067x16912","70","DRECHAL","SARS","S",NA,NA,NA,6.41286779641001,NA,NA,5.9190770375137
"CC003xCC051","X13067x16912","71","DRECHAL","SARS","N",NA,NA,NA,1.38414967818754,NA,NA,1.7979206667208
"CC003xCC051","X13067x16912","71","DRECHAL","SARS","S",NA,NA,NA,6.92097885774026,NA,NA,5.80806726433915
"CC003xCC051","X13067x16912","72","DRECHAL","SARS","N",NA,NA,NA,1.34678118192268,NA,NA,1.64724430155089
"CC003xCC051","X13067x16912","72","DRECHAL","SARS","S",NA,NA,NA,5.61277628142889,NA,NA,5.54110968943354
"CC003xCC051","X13067x16912","76","D15","SARS","N",NA,NA,NA,0.55997978160905,NA,NA,0.188891599024096
"CC003xCC051","X13067x16912","76","D15","SARS","S",NA,NA,NA,2.91915567093805,NA,NA,2.60628650263134
"CC005xCC001","X16211x13140","105","D29","SARS","N",NA,NA,NA,1.61940179241352,NA,NA,3.74609014308442
"CC005xCC001","X16211x13140","105","D29","SARS","S",NA,NA,NA,4.17595953540508,NA,NA,5.55101817445242
